N,B,Connectance,T,Disturbance,Eco_size,Richness,Chain,Omnivory,Apparent,Exploitation,FCL
24,8,0.13,2,0.1,1.5,14,0.302631579,0.039473684,0.421052632,0.236842105,3
16,4,0.09,1,0.4,1.25,4,0,0,0.5,0.5,1
32,6,0.1,0.5,0.2,1.25,13,0.117647059,0.102941176,0.411764706,0.367647059,4
32,2,0.09,10,0.1,0.5,2,NA,NA,NA,NA,0
24,4,0.12,2,0.9,1,11,0.25,0.075,0.35,0.325,3
24,8,0.09,0.1,0.6,0.25,1,NA,NA,NA,NA,0
64,4,0.09,1,0.9,1.5,11,0.432432432,0.054054054,0.189189189,0.324324324,4
24,4,0.09,0.1,0.8,2,10,0.272727273,0.136363636,0.272727273,0.318181818,3
64,8,0.13,10,0.9,1.75,28,0.266159696,0.098859316,0.363117871,0.271863118,6
48,2,0.09,0.5,0.7,1.25,8,0.5,0.041666667,0.166666667,0.291666667,4
64,8,0.11,1,0.6,2,31,0.3200883,0.06401766,0.362030905,0.253863135,5
48,2,0.09,0.1,0.6,1.75,17,0.315384615,0.1,0.253846154,0.330769231,4
16,4,0.12,0.1,0.2,0.5,2,NA,NA,NA,NA,0
32,8,0.12,0.1,0.8,1,5,0,0.25,0.5,0.25,2
24,2,0.1,2,0.6,0.25,2,NA,NA,NA,NA,1
32,2,0.12,0.1,0.4,1.75,15,0.263888889,0.083333333,0.236111111,0.416666667,4
32,8,0.13,10,0.5,2,19,0.216374269,0.093567251,0.321637427,0.368421053,4
16,2,0.12,0.5,0.7,0.25,0,NA,NA,NA,NA,-1
64,6,0.11,1,0.4,1.75,33,0.318181818,0.096590909,0.297348485,0.287878788,9
48,8,0.09,1,0.9,0.75,8,0.4,0.066666667,0.266666667,0.266666667,3
48,8,0.13,1,0.9,1.5,14,0.430555556,0.069444444,0.236111111,0.263888889,4
16,2,0.1,10,0.6,0.75,1,NA,NA,NA,NA,0
64,8,0.1,2,0.5,0.5,9,0.466666667,0.066666667,0.266666667,0.2,2
64,4,0.1,1,0.4,0.25,0,NA,NA,NA,NA,-1
16,2,0.12,0.1,0.4,0.25,2,NA,NA,NA,NA,1
32,8,0.09,10,0.4,1,11,0.272727273,0,0.363636364,0.363636364,3
32,8,0.12,1,0.4,2,19,0.268571429,0.12,0.337142857,0.274285714,5
32,4,0.09,0.5,0.4,2,13,0.461538462,0.051282051,0.230769231,0.256410256,4
32,2,0.11,2,0.5,1,8,0.454545455,0.090909091,0.181818182,0.272727273,4
48,2,0.13,0.5,0.5,0.25,1,NA,NA,NA,NA,0
16,8,0.11,0.5,0.8,1.5,7,0,0,0.5,0.5,1
16,6,0.09,1,0.4,0.25,1,NA,NA,NA,NA,0
48,6,0.12,0.1,0.5,1,7,0.363636364,0.363636364,0,0.272727273,3
24,2,0.13,0.5,0.1,0.5,3,0,0,1,0,1
16,2,0.1,0.5,0.8,2,5,0.5,0,0.25,0.25,2
24,2,0.09,10,0.5,1.75,1,NA,NA,NA,NA,0
32,4,0.12,10,0.7,1,5,0,0.2,0.4,0.4,2
48,2,0.12,0.5,0.8,1.25,14,0.362318841,0.101449275,0.217391304,0.31884058,4
16,6,0.09,0.5,0.6,0.25,0,NA,NA,NA,NA,-1
32,4,0.13,1,0.4,2,14,0.35483871,0.129032258,0.209677419,0.306451613,5
64,4,0.11,0.1,0.4,0.25,1,NA,NA,NA,NA,0
32,8,0.09,1,0.4,2,15,0.207207207,0.072072072,0.378378378,0.342342342,4
48,2,0.13,0.5,0.7,0.25,3,NA,NA,NA,NA,1
24,6,0.11,0.5,0.9,1.5,9,0.25,0.125,0.4375,0.1875,2
16,8,0.13,0.1,0.4,0.75,8,0.25,0,0.583333333,0.166666667,2
48,6,0.09,0.5,0.9,0.25,2,NA,NA,NA,NA,1
16,4,0.09,1,0.7,1.25,3,NA,NA,NA,NA,1
48,6,0.12,10,0.8,0.25,4,0,0,0.5,0.5,1
24,4,0.12,10,0.8,2,4,0,0,1,0,1
64,2,0.09,0.1,0.7,0.75,9,0.153846154,0.230769231,0.307692308,0.307692308,3
24,2,0.13,0.5,0.2,1.25,10,0.315789474,0.140350877,0.280701754,0.263157895,4
24,4,0.13,10,0.9,0.75,0,NA,NA,NA,NA,-1
24,2,0.13,10,0.5,2,5,0.666666667,0,0,0.333333333,2
32,2,0.09,10,0.2,1,2,NA,NA,NA,NA,0
16,8,0.09,10,0.8,0.25,2,NA,NA,NA,NA,1
24,4,0.12,0.5,0.8,0.25,1,NA,NA,NA,NA,0
32,2,0.11,1,0.2,2,18,0.443181818,0.068181818,0.181818182,0.306818182,5
32,4,0.1,1,0.1,1,11,0.208333333,0.291666667,0.208333333,0.291666667,3
32,6,0.1,1,0.3,1.75,12,0.377777778,0.066666667,0.244444444,0.311111111,4
32,4,0.13,0.1,0.1,1.5,10,0.3,0.066666667,0.3,0.333333333,4
64,2,0.13,0.1,0.8,0.25,0,NA,NA,NA,NA,-1
32,4,0.11,0.1,0.9,0.75,2,NA,NA,NA,NA,0
16,2,0.11,10,0.3,0.25,0,NA,NA,NA,NA,-1
24,8,0.11,10,0.8,2,7,0.428571429,0,0.571428571,0,2
48,2,0.13,0.5,0.7,1,0,NA,NA,NA,NA,-1
24,6,0.13,0.1,0.5,2,14,0.456521739,0.130434783,0.173913043,0.239130435,6
24,4,0.09,1,0.3,2,16,0.166666667,0.12,0.366666667,0.346666667,3
48,8,0.11,1,0.2,1.5,33,0.275689223,0.086466165,0.261904762,0.37593985,5
64,6,0.12,10,0.4,0.75,19,0.192592593,0.159259259,0.340740741,0.307407407,6
16,8,0.09,0.1,0.7,1.75,6,NA,NA,NA,NA,1
64,6,0.11,1,0.2,0.5,21,0.277027027,0.081081081,0.195945946,0.445945946,4
64,6,0.11,2,0.9,1.5,16,0.364285714,0.128571429,0.192857143,0.314285714,5
64,2,0.13,0.5,0.7,0.75,3,0,0,1,0,1
48,2,0.09,10,0.4,1.5,5,0.571428571,0.142857143,0.142857143,0.142857143,3
48,6,0.13,0.5,0.3,2,35,0.274251497,0.093413174,0.310179641,0.322155689,7
48,4,0.1,2,0.4,1.75,16,0.471428571,0.057142857,0.157142857,0.314285714,4
24,4,0.12,10,0.3,1.25,9,0.1875,0,0.375,0.4375,2
16,4,0.11,0.1,0.4,0.25,2,NA,NA,NA,NA,0
32,4,0.1,1,0.2,2,20,0.197530864,0.166666667,0.37037037,0.265432099,4
16,2,0.12,0.1,0.4,1.25,4,0,0,0.5,0.5,1
16,6,0.1,0.5,0.9,1.5,7,0.5,0,0.5,0,2
48,4,0.1,2,0.6,0.5,1,NA,NA,NA,NA,0
64,4,0.13,10,0.5,1.25,26,0.311897106,0.064308682,0.289389068,0.334405145,5
16,2,0.12,0.1,0.1,1.75,11,0.3125,0.0625,0.1875,0.4375,3
32,2,0.11,2,0.2,1.25,6,0.166666667,0.25,0.083333333,0.5,3
48,2,0.12,0.1,0.1,1.5,25,0.311764706,0.064705882,0.217647059,0.405882353,5
64,6,0.09,2,0.1,1.5,42,0.301630435,0.073369565,0.288043478,0.336956522,6
48,8,0.1,2,0.5,0.75,10,0.181818182,0.181818182,0.363636364,0.272727273,2
16,6,0.1,0.1,0.5,0.75,3,NA,NA,NA,NA,1
16,6,0.09,0.5,0.2,0.5,3,NA,NA,NA,NA,0
64,6,0.11,1,0.2,2,40,0.264870932,0.078563412,0.312008979,0.344556678,7
64,6,0.12,10,0.6,0.25,1,NA,NA,NA,NA,0
16,8,0.1,2,0.7,0.5,5,0,0,0.666666667,0.333333333,1
64,6,0.11,2,0.6,1,12,0.263157895,0.105263158,0.223684211,0.407894737,4
48,8,0.1,10,0.7,0.75,8,0.25,0,0.375,0.375,2
24,4,0.11,0.1,0.3,0.75,10,0.217391304,0.239130435,0.173913043,0.369565217,4
24,6,0.11,2,0.4,1.75,14,0.306122449,0.06122449,0.265306122,0.367346939,3
16,2,0.12,2,0.4,0.25,0,NA,NA,NA,NA,-1
64,2,0.1,10,0.7,1.25,3,NA,NA,NA,NA,1
64,6,0.09,0.1,0.9,1.75,9,0.529411765,0.117647059,0.117647059,0.235294118,3
24,6,0.1,2,0.9,0.75,5,0,0.2,0.4,0.4,2
64,6,0.12,10,0.4,1.25,29,0.257053292,0.062695925,0.357366771,0.322884013,6
24,6,0.11,0.1,0.3,1.5,9,0.315789474,0.105263158,0.263157895,0.315789474,3
48,4,0.12,2,0.6,1.5,23,0.323843416,0.088967972,0.220640569,0.366548043,6
24,6,0.1,2,0.5,1.5,13,0.257142857,0.028571429,0.342857143,0.371428571,3
64,6,0.13,0.5,0.2,0.25,6,0.1,0.1,0.6,0.2,2
64,4,0.11,1,0.9,1.25,9,0.451612903,0.129032258,0.225806452,0.193548387,4
48,2,0.13,0.5,0.7,1.5,9,0.266666667,0.166666667,0.2,0.366666667,3
48,4,0.12,1,0.3,1.25,19,0.180555556,0.125,0.368055556,0.326388889,4
16,2,0.1,2,0.5,1,2,NA,NA,NA,NA,1
24,4,0.09,10,0.5,0.75,3,NA,NA,NA,NA,1
48,2,0.09,1,0.9,1.25,0,NA,NA,NA,NA,-1
16,2,0.09,0.5,0.2,2,6,0.5,0,0.25,0.25,2
16,4,0.13,1,0.6,2,9,0.307692308,0,0.307692308,0.384615385,3
32,2,0.13,1,0.4,1.5,9,0.466666667,0,0.2,0.333333333,4
16,4,0.09,10,0.3,0.25,3,0,0,1,0,1
16,2,0.09,1,0.1,0.5,1,NA,NA,NA,NA,0
48,8,0.12,0.5,0.6,0.25,3,1,0,0,0,2
32,8,0.1,2,0.3,1,10,0.419354839,0.129032258,0.193548387,0.258064516,4
64,8,0.12,0.1,0.2,0.25,5,0,0.25,0.5,0.25,2
32,8,0.1,0.5,0.8,1.5,9,0,0,0.8,0.2,1
64,8,0.09,10,0.7,1,24,0.313304721,0.038626609,0.291845494,0.356223176,5
16,2,0.11,0.5,0.8,0.5,0,NA,NA,NA,NA,-1
16,8,0.12,0.5,0.3,1.75,8,0.222222222,0.111111111,0.444444444,0.222222222,2
16,2,0.11,2,0.3,1.25,4,NA,NA,NA,NA,1
64,8,0.1,10,0.8,1.75,17,0.301587302,0.095238095,0.23015873,0.373015873,5
48,4,0.12,0.5,0.3,2,30,0.316479401,0.117977528,0.288389513,0.277153558,5
48,8,0.12,2,0.2,1,14,0.341463415,0.097560976,0.146341463,0.414634146,5
48,2,0.09,1,0.7,0.5,0,NA,NA,NA,NA,-1
48,6,0.12,2,0.7,1.25,18,0.298507463,0.059701493,0.208955224,0.432835821,4
64,6,0.13,1,0.2,0.5,26,0.31059246,0.102333932,0.263913824,0.323159785,6
24,6,0.12,0.5,0.8,0.25,2,NA,NA,NA,NA,1
48,2,0.1,0.1,0.6,2,12,0.277777778,0.055555556,0.277777778,0.388888889,3
16,4,0.11,0.1,0.2,0.25,3,0,0,0,1,1
48,4,0.12,10,0.4,1,20,0.271929825,0.070175439,0.219298246,0.438596491,5
48,4,0.12,0.1,0.2,1,14,0.441176471,0.078431373,0.264705882,0.215686275,6
64,4,0.13,0.1,0.7,1.5,25,0.256578947,0.085526316,0.302631579,0.355263158,6
48,4,0.11,1,0.9,0.25,2,NA,NA,NA,NA,0
24,4,0.11,0.1,0.5,1,3,NA,NA,NA,NA,1
24,2,0.12,0.5,0.8,0.25,0,NA,NA,NA,NA,-1
24,8,0.13,2,0.9,0.25,3,NA,NA,NA,NA,1
16,6,0.13,1,0.8,1.25,5,0,0,0,1,1
16,2,0.12,10,0.8,1,0,NA,NA,NA,NA,-1
48,4,0.11,0.1,0.4,1.25,20,0.342723005,0.107981221,0.244131455,0.305164319,6
48,4,0.1,0.1,0.3,0.5,8,0.526315789,0.052631579,0.315789474,0.105263158,3
64,4,0.11,0.5,0.4,0.75,0,NA,NA,NA,NA,-1
64,6,0.1,0.5,0.3,1,12,0.5,0,0.115384615,0.384615385,5
16,2,0.1,10,0.7,1.5,0,NA,NA,NA,NA,-1
64,2,0.11,10,0.7,1.75,1,NA,NA,NA,NA,0
48,4,0.1,10,0.1,1.25,8,0.346153846,0.192307692,0.346153846,0.115384615,4
16,2,0.13,2,0.1,1.25,9,0.5,0,0.166666667,0.333333333,3
24,6,0.12,1,0.9,1,10,0.342857143,0.028571429,0.314285714,0.314285714,3
16,4,0.1,0.1,0.7,1.75,5,0,0.142857143,0.428571429,0.428571429,2
64,4,0.13,2,0.6,0.5,5,0.444444444,0,0.222222222,0.333333333,2
24,8,0.12,0.5,0.1,0.75,13,0.086206897,0.051724138,0.224137931,0.637931034,3
32,6,0.12,2,0.6,0.75,8,0.333333333,0.166666667,0.333333333,0.166666667,3
32,2,0.11,0.1,0.1,1,8,0.307692308,0.230769231,0.076923077,0.384615385,3
24,6,0.13,0.1,0.2,1.5,14,0.303797468,0.113924051,0.316455696,0.265822785,4
16,4,0.12,0.5,0.6,1.75,3,NA,NA,NA,NA,1
48,6,0.12,2,0.7,1.5,14,0.255319149,0.063829787,0.191489362,0.489361702,3
24,4,0.09,2,0.9,0.75,5,0,0,0.5,0.5,1
64,8,0.11,0.1,0.1,1.75,44,0.311938383,0.038510911,0.372272144,0.277278562,7
64,6,0.11,0.1,0.3,1.5,35,0.35812357,0.075514874,0.265446224,0.300915332,8
32,8,0.11,0.1,0.4,1,15,0.410714286,0.125,0.303571429,0.160714286,5
24,4,0.11,10,0.6,1.25,3,1,0,0,0,2
48,8,0.11,0.5,0.6,0.5,3,NA,NA,NA,NA,0
32,6,0.11,10,0.4,0.5,7,0.166666667,0.166666667,0.333333333,0.333333333,2
32,4,0.09,10,0.4,0.25,4,NA,NA,NA,NA,1
16,6,0.13,2,0.2,1,6,0,0,0.571428571,0.428571429,1
48,4,0.13,2,0.6,0.25,1,NA,NA,NA,NA,0
64,4,0.13,10,0.4,1.25,31,0.273722628,0.082116788,0.268248175,0.375912409,5
48,8,0.11,0.5,0.5,1.75,27,0.331378299,0.064516129,0.269794721,0.33431085,5
64,4,0.12,1,0.6,1.75,24,0.21969697,0.140151515,0.200757576,0.439393939,4
32,6,0.09,0.1,0.5,1.25,9,0.166666667,0.222222222,0.388888889,0.222222222,2
32,2,0.12,0.5,0.2,1.75,2,NA,NA,NA,NA,1
16,2,0.11,1,0.1,0.75,4,0,0,0.5,0.5,1
16,2,0.13,2,0.7,1.5,5,0.5,0,0.25,0.25,2
24,8,0.13,0.5,0.1,0.5,10,0.105263158,0,0.368421053,0.526315789,2
64,6,0.12,0.5,0.9,0.5,1,NA,NA,NA,NA,0
16,8,0.13,1,0.9,1.5,5,1,0,0,0,2
32,8,0.13,2,0.5,0.25,4,NA,NA,NA,NA,1
24,4,0.09,1,0.8,1,1,NA,NA,NA,NA,0
48,4,0.11,0.1,0.2,2,24,0.339350181,0.093862816,0.227436823,0.339350181,5
16,4,0.11,1,0.9,2,1,NA,NA,NA,NA,0
32,2,0.1,10,0.5,1,7,0,0,0.181818182,0.818181818,1
16,6,0.12,1,0.5,1,11,0.161290323,0.032258065,0.419354839,0.387096774,3
64,6,0.13,2,0.3,0.75,15,0.327272727,0.018181818,0.236363636,0.418181818,5
48,2,0.12,10,0.9,0.5,3,0,1,0,0,2
24,2,0.11,2,0.8,1.25,2,NA,NA,NA,NA,1
64,8,0.1,10,0.6,0.75,10,0.28,0,0.24,0.48,3
64,4,0.1,1,0.5,0.25,2,NA,NA,NA,NA,0
32,6,0.09,0.5,0.9,1,6,0.428571429,0.285714286,0.285714286,0,3
24,2,0.13,10,0.5,1.5,5,0,0.333333333,0.333333333,0.333333333,2
48,4,0.11,10,0.2,0.5,5,0,0,0.5,0.5,1
16,4,0.09,2,0.8,0.25,0,NA,NA,NA,NA,-1
16,8,0.1,2,0.3,0.75,9,0.2,0,0.666666667,0.133333333,2
16,2,0.13,1,0.3,1.5,8,0.25,0.083333333,0.25,0.416666667,2
32,6,0.11,0.5,0.3,1.75,18,0.197183099,0.11971831,0.401408451,0.281690141,5
32,4,0.13,0.1,0.2,1,19,0.297619048,0.083333333,0.25,0.369047619,6
64,6,0.12,0.1,0.7,2,33,0.269662921,0.078651685,0.305243446,0.346441948,6
24,8,0.12,2,0.4,0.5,3,NA,NA,NA,NA,1
64,6,0.12,1,0.8,1.75,18,0.349206349,0.031746032,0.206349206,0.412698413,4
48,4,0.13,10,0.7,1.5,7,0.3,0.15,0.25,0.3,3
24,8,0.11,2,0.1,0.5,9,0.333333333,0,0.333333333,0.333333333,2
24,8,0.09,10,0.6,1.25,7,0,0.181818182,0.363636364,0.454545455,2
24,2,0.13,2,0.7,1,3,0,0,0,1,1
48,6,0.1,2,0.4,1.25,20,0.469879518,0.072289157,0.204819277,0.253012048,6
16,2,0.1,1,0.6,1.25,7,0.461538462,0.153846154,0.076923077,0.307692308,4
16,8,0.13,2,0.5,1.5,5,0,0,1,0,1
16,8,0.09,0.1,0.7,0.5,3,NA,NA,NA,NA,0
64,2,0.1,1,0.7,2,4,NA,NA,NA,NA,1
