N,B,Connectance,T,Disturbance,Eco_size,Richness,Chain,Omnivory,Apparent,Exploitation,FCL
24,8,0.09,10,0.4,0.25,2,NA,NA,NA,NA,0
24,2,0.13,0.1,0.5,1.25,4,0,0,0,1,1
16,4,0.12,2,0.1,1.75,11,0.423076923,0.076923077,0.307692308,0.192307692,3
32,8,0.12,10,0.8,1.5,10,0.292682927,0.048780488,0.341463415,0.317073171,2.375
32,2,0.1,1,0.5,1.25,12,0.351351351,0.027027027,0.243243243,0.378378378,2.333333333
24,8,0.13,0.5,0.7,1.25,10,0.28,0.08,0.4,0.24,2.5
24,8,0.11,2,0.8,0.75,3,NA,NA,NA,NA,0
64,2,0.13,2,0.6,2,7,0.222222222,0,0.444444444,0.333333333,1.666666667
24,6,0.12,10,0.4,1,16,0.295918367,0.112244898,0.346938776,0.244897959,3.047619048
64,8,0.11,1,0.4,0.25,7,0.625,0,0.25,0.125,2.75
48,6,0.09,1,0.9,0.25,2,NA,NA,NA,NA,0
64,2,0.13,0.5,0.7,2,15,0.428571429,0.133928571,0.205357143,0.232142857,4.5
48,8,0.1,10,0.8,1.25,12,0.333333333,0.083333333,0.166666667,0.416666667,3
16,4,0.11,0.5,0.8,1.25,4,0,0,0,1,1
32,2,0.1,10,0.7,1.5,2,NA,NA,NA,NA,0
24,8,0.12,2,0.8,1.25,12,0.304347826,0.108695652,0.239130435,0.347826087,3.25
32,8,0.09,0.1,0.2,0.5,10,0.25,0,0.25,0.5,1.5
32,4,0.11,1,0.9,1.5,7,0.166666667,0.166666667,0.083333333,0.583333333,2
16,2,0.09,0.1,0.5,1.75,2,NA,NA,NA,NA,0
64,2,0.11,10,0.2,1,34,0.290322581,0.093548387,0.344086022,0.272043011,4.259375
48,8,0.13,0.5,0.8,2,18,0.239520958,0.215568862,0.185628743,0.359281437,3.142261905
48,6,0.11,1,0.7,2,19,0.27027027,0.135135135,0.373873874,0.220720721,3.083333333
16,6,0.09,0.1,0.2,1.5,5,0,0,0.5,0.5,1
