N,B,Connectance,T,Disturbance,Eco_size,Richness,Chain,Omnivory,Apparent,Exploitation,FCL
48,6,0.13,10,0.6,2,28,0.323825503,0.092281879,0.303691275,0.280201342,2
16,8,0.13,0.5,0.6,0.5,1,NA,NA,NA,NA,0
64,4,0.12,10,0.3,1,16,0.416666667,0.097222222,0.236111111,0.25,3
48,6,0.12,10,0.7,0.75,3,NA,NA,NA,NA,1
16,4,0.11,0.5,0.4,1.75,2,NA,NA,NA,NA,0
24,2,0.13,0.1,0.7,1.25,4,NA,NA,NA,NA,1
24,8,0.11,2,0.2,2,18,0.142857143,0.051948052,0.415584416,0.38961039,1
24,8,0.13,1,0.6,1.5,14,0.246753247,0.090909091,0.38961039,0.272727273,1
64,6,0.12,1,0.5,1,11,0.482758621,0.137931034,0.206896552,0.172413793,3
32,6,0.11,0.1,0.1,0.75,14,0.346153846,0.019230769,0.326923077,0.307692308,2
64,6,0.13,1,0.9,0.5,5,0,0,0,1,1
16,8,0.12,2,0.7,1,6,0,0,0.5,0.5,1
24,4,0.1,0.5,0.1,0.25,3,NA,NA,NA,NA,0
16,4,0.12,1,0.3,2,7,0.272727273,0.090909091,0.090909091,0.545454545,2
16,8,0.1,10,0.2,0.75,5,0.333333333,0.333333333,0.333333333,0,1
16,6,0.1,2,0.2,1.25,8,0.058823529,0.235294118,0.235294118,0.470588235,1
48,8,0.11,0.5,0.2,1.75,34,0.325062035,0.115384615,0.315136476,0.244416873,2
24,4,0.11,0.5,0.8,1,3,0,0,0,1,1
24,4,0.13,10,0.2,0.75,6,0.333333333,0.333333333,0,0.333333333,2
64,8,0.12,0.1,0.7,1.5,34,0.307479224,0.113573407,0.301939058,0.27700831,2
64,8,0.13,2,0.4,1,30,0.245980707,0.128617363,0.403536977,0.221864952,3
64,6,0.12,0.5,0.3,0.25,5,0.5,0,0.25,0.25,2
24,8,0.12,0.5,0.4,2,13,0.285714286,0.114285714,0.342857143,0.257142857,2
24,2,0.11,1,0.9,1.25,1,NA,NA,NA,NA,0
48,6,0.12,0.5,0.8,1.5,16,0.340909091,0.113636364,0.255681818,0.289772727,3
48,4,0.11,0.5,0.3,0.75,21,0.333333333,0.088541667,0.338541667,0.239583333,4
64,8,0.13,2,0.1,1.25,32,0.277108434,0.137550201,0.364457831,0.220883534,2
64,8,0.09,0.5,0.1,0.5,11,0.285714286,0.035714286,0.392857143,0.285714286,2
64,2,0.13,1,0.2,1.5,37,0.29651545,0.136094675,0.313609467,0.253780408,3
32,8,0.12,10,0.2,0.5,5,0,0,0.666666667,0.333333333,1
16,4,0.09,0.1,0.2,1.25,10,0.380952381,0.047619048,0.238095238,0.333333333,2
16,6,0.11,10,0.8,0.75,1,NA,NA,NA,NA,0
24,2,0.1,1,0.4,0.5,2,NA,NA,NA,NA,0
24,8,0.09,0.5,0.3,1,4,0,0,1,0,1
64,2,0.11,10,0.6,2,31,0.326164875,0.093189964,0.342293907,0.238351254,3
24,4,0.11,1,0.8,0.5,2,NA,NA,NA,NA,1
64,4,0.11,0.5,0.5,1.75,35,0.306205493,0.123092574,0.248219736,0.322482197,3
32,6,0.13,10,0.9,1.25,11,0.327586207,0.172413793,0.25862069,0.24137931,2
64,6,0.13,0.5,0.4,0.25,0,NA,NA,NA,NA,-1
64,8,0.13,10,0.2,1.75,37,0.249786871,0.132992327,0.3657289,0.251491901,2
16,2,0.1,1,0.9,0.25,0,NA,NA,NA,NA,-1
64,4,0.13,2,0.4,1.25,28,0.31372549,0.115686275,0.282352941,0.288235294,3
32,4,0.11,1,0.3,1.75,12,0.181818182,0.136363636,0.318181818,0.363636364,3
16,2,0.1,2,0.2,1,2,NA,NA,NA,NA,0
48,6,0.1,10,0.2,1,22,0.262820513,0.083333333,0.282051282,0.371794872,3
24,4,0.1,2,0.4,0.5,2,NA,NA,NA,NA,0
64,6,0.09,2,0.7,1,19,0.347826087,0.068322981,0.335403727,0.248447205,3
24,2,0.1,2,0.7,0.75,3,0,0,1,0,1
48,4,0.09,10,0.3,1.5,20,0.391089109,0.064356436,0.247524752,0.297029703,2
64,2,0.09,10,0.1,1.5,30,0.303797468,0.101265823,0.265822785,0.329113924,3
64,4,0.1,2,0.9,1.25,8,0.235294118,0.058823529,0.352941176,0.352941176,2
48,8,0.09,10,0.8,0.25,3,0,0,1,0,1
64,2,0.13,0.1,0.1,1.25,28,0.245416079,0.167842031,0.279266573,0.307475317,2
32,8,0.12,0.5,0.1,0.5,5,0,0,0,1,1
24,6,0.11,1,0.6,1.75,6,0.5,0,0.5,0,1
48,2,0.11,1,0.8,2,12,0.358974359,0.051282051,0.230769231,0.358974359,2
64,6,0.09,1,0.6,0.5,17,0.350318471,0.140127389,0.21656051,0.292993631,2
64,8,0.1,1,0.5,1.75,30,0.255319149,0.059101655,0.321513002,0.364066194,4
24,6,0.13,10,0.2,1,8,0.4,0.05,0.35,0.2,2
24,8,0.11,1,0.5,0.25,2,NA,NA,NA,NA,0
24,4,0.12,1,0.5,2,5,1,0,0,0,2
16,2,0.09,0.1,0.6,0.5,0,NA,NA,NA,NA,-1
48,8,0.09,2,0.5,0.25,2,NA,NA,NA,NA,1
32,8,0.12,1,0.1,0.75,21,0.336734694,0.132653061,0.340136054,0.19047619,2
48,4,0.1,0.1,0.6,1.75,22,0.322274882,0.075829384,0.274881517,0.327014218,3
24,4,0.13,2,0.6,0.5,4,0,0.5,0.25,0.25,1
48,6,0.1,1,0.4,1.5,24,0.301675978,0.100558659,0.270949721,0.326815642,2
16,4,0.09,0.1,0.1,1,5,0.333333333,0.333333333,0.333333333,0,1
24,4,0.13,0.1,0.3,1.5,8,0.2,0.2,0.45,0.15,1
24,4,0.1,2,0.5,1.25,4,0.333333333,0.333333333,0.333333333,0,1
32,8,0.1,0.5,0.8,2,10,0.4,0,0,0.6,2
64,2,0.12,0.5,0.5,1.25,28,0.282978723,0.104255319,0.321276596,0.291489362,3
24,2,0.1,2,0.1,1,13,0.326086957,0.086956522,0.239130435,0.347826087,3
24,2,0.13,10,0.1,2,8,0.304347826,0.260869565,0.086956522,0.347826087,3
32,8,0.09,10,0.6,2,20,0.331578947,0.126315789,0.247368421,0.294736842,2
16,4,0.12,0.5,0.7,0.75,5,1,0,0,0,2
24,6,0.12,2,0.4,1,13,0.361111111,0.027777778,0.361111111,0.25,2
32,6,0.11,0.1,0.8,1.75,10,0.266666667,0.133333333,0.466666667,0.133333333,1
16,6,0.12,10,0.7,1.75,7,0,0.2,0.4,0.4,1
24,6,0.13,1,0.8,1.75,10,0.434782609,0.173913043,0.304347826,0.086956522,2
64,2,0.1,10,0.7,2,32,0.372881356,0.106910039,0.24380704,0.276401565,3
32,4,0.1,0.5,0.8,0.75,5,0.666666667,0.333333333,0,0,2
64,6,0.09,0.5,0.8,1.5,18,0.24742268,0.072164948,0.340206186,0.340206186,2
64,2,0.11,0.5,0.5,0.5,2,NA,NA,NA,NA,1
64,2,0.12,0.5,0.5,0.75,7,0.176470588,0.294117647,0.117647059,0.411764706,3
24,8,0.12,1,0.7,1,2,NA,NA,NA,NA,0
32,8,0.12,2,0.5,1,6,0.222222222,0.111111111,0.444444444,0.222222222,1
16,2,0.11,2,0.3,0.25,1,NA,NA,NA,NA,0
16,2,0.13,1,0.8,0.75,1,NA,NA,NA,NA,0
48,8,0.09,1,0.3,2,34,0.356164384,0.065068493,0.320205479,0.258561644,3
24,4,0.13,0.1,0.7,2,6,0.25,0,0.25,0.5,2
48,6,0.13,0.5,0.3,1.25,27,0.291828794,0.097276265,0.377431907,0.233463035,2
48,8,0.13,0.5,0.9,1.75,19,0.333333333,0.109589041,0.232876712,0.324200913,2
24,6,0.12,0.1,0.1,1.5,10,0.111111111,0.111111111,0.407407407,0.37037037,2
24,4,0.09,10,0.3,1.5,11,0.142857143,0,0.392857143,0.464285714,1
32,8,0.12,0.1,0.3,1.5,22,0.280612245,0.132653061,0.290816327,0.295918367,2
16,4,0.11,0.1,0.1,1,8,0.3,0,0.3,0.4,2
32,2,0.1,10,0.2,2,19,0.34965035,0.083916084,0.237762238,0.328671329,3
24,6,0.09,1,0.9,0.75,7,0.181818182,0.181818182,0.181818182,0.454545455,1
64,2,0.09,1,0.4,0.25,2,NA,NA,NA,NA,1
32,6,0.1,10,0.8,1,6,0.5,0,0.25,0.25,2
16,6,0.1,0.5,0.6,2,8,0,0,0.125,0.875,1
64,6,0.11,0.5,0.6,0.75,5,0,0,0.25,0.75,1
64,8,0.12,0.5,0.2,0.5,9,0.321428571,0.035714286,0.178571429,0.464285714,2
48,2,0.11,0.1,0.7,0.5,5,0.75,0,0.25,0,2
32,2,0.09,1,0.6,0.25,1,NA,NA,NA,NA,0
24,6,0.12,10,0.9,1,5,0,0,0.75,0.25,1
32,6,0.13,0.1,0.6,1,5,0.666666667,0,0.166666667,0.166666667,2
64,6,0.13,10,0.3,0.25,0,NA,NA,NA,NA,-1
32,8,0.1,0.1,0.9,0.25,4,0,0,0,1,1
48,6,0.11,0.1,0.8,1.75,10,0.3,0.066666667,0.366666667,0.266666667,3
16,6,0.11,2,0.4,0.5,4,0,0,0.5,0.5,1
16,8,0.13,0.1,0.8,0.75,2,NA,NA,NA,NA,0
64,6,0.11,1,0.5,0.75,4,1,0,0,0,2
48,2,0.11,1,0.4,1.25,15,0.393258427,0.101123596,0.191011236,0.314606742,3
64,8,0.09,0.1,0.9,1.75,26,0.365612648,0.110671937,0.302371542,0.221343874,3
32,6,0.1,0.5,0.2,0.25,6,0,0.5,0,0.5,1
16,8,0.13,1,0.7,0.5,2,NA,NA,NA,NA,1
32,8,0.12,0.5,0.2,1,10,0.111111111,0.111111111,0.333333333,0.444444444,1
24,6,0.13,10,0.8,0.25,0,NA,NA,NA,NA,-1
16,2,0.12,2,0.9,2,5,0,0,0.5,0.5,1
64,4,0.11,1,0.5,0.25,0,NA,NA,NA,NA,-1
64,4,0.1,2,0.5,2,18,0.431818182,0.045454545,0.113636364,0.409090909,4
24,2,0.09,10,0.9,1,6,0.555555556,0,0.222222222,0.222222222,2
48,2,0.09,0.5,0.1,0.5,4,0,0.333333333,0,0.666666667,1
32,8,0.12,10,0.4,0.75,10,0.421052632,0,0.368421053,0.210526316,2
24,6,0.09,2,0.6,0.75,4,NA,NA,NA,NA,1
24,8,0.12,0.1,0.2,2,15,0.285714286,0.090909091,0.298701299,0.324675325,2
32,4,0.09,0.5,0.1,0.5,5,NA,NA,NA,NA,1
24,4,0.13,2,0.7,2,12,0.4,0.066666667,0.233333333,0.3,3
48,2,0.09,2,0.9,1.25,10,0.5,0.076923077,0.115384615,0.307692308,3
24,8,0.1,1,0.2,1,14,0.341463415,0.097560976,0.304878049,0.256097561,2
32,2,0.11,10,0.8,0.25,0,NA,NA,NA,NA,-1
24,6,0.1,10,0.3,1.25,12,0.333333333,0.060606061,0.212121212,0.393939394,3
32,8,0.09,0.5,0.6,1,12,0.233333333,0.15,0.3,0.316666667,2
64,8,0.11,1,0.7,2,35,0.299823633,0.116402116,0.343915344,0.239858907,3
16,2,0.12,0.5,0.9,2,2,NA,NA,NA,NA,1
48,8,0.09,10,0.1,2,34,0.229979466,0.109856263,0.374743326,0.285420945,2
32,6,0.13,0.1,0.8,0.5,4,0.5,0,0.5,0,1
48,4,0.11,2,0.2,0.75,5,1,0,0,0,4
32,8,0.09,10,0.3,1.75,13,0.309090909,0.109090909,0.327272727,0.254545455,2
64,8,0.13,0.5,0.2,1,27,0.258914729,0.128682171,0.330232558,0.282170543,2
32,2,0.13,0.1,0.4,1.25,15,0.2875,0.275,0.2875,0.15,2
